menu,comment,mood,level
全粒粉スコーン（オリジナル）,季節によってフレーバー変動、ドライフルーツやチョコなど（スイーツ）,本日のフレーバーはスタッフがご説明いたします,
全粒粉スコーン（プレーン）,アーモンドたっぷり、お土産にも◎（スイーツ）,☆☆☆☆,
本日のシフォンケーキ,ボリュームしっかり、季節で変わるフレーバー（スイーツ）,☆☆☆☆,
Veganマフィン,米粉・動物性不使用、体に優しいマフィン（スイーツ）,レアアイテムです、出会えたら嬉しいですね,
月桃茶（ゲットウチャ）,爽やかな香り、ポリフェノール・ミネラル豊富、カフェインフリー（アジアンティー）,☆☆☆☆,
黒豆茶,豆入り、血液サラサラ効果、カフェインフリー（アジアンティー）,☆☆☆☆,
八宝茶,薬膳たっぷりの甘めブレンド（アジアンティー）,☆☆☆☆,
文山包種,台湾緑茶、どんな料理とも相性良し（アジアンティー）,☆☆☆☆,
ジャスミンティー,花の香り、気分を豊かにする中国茶（アジアンティー）,癒し系ドリンク　ホッとしたひと時を,
生姜ほうじ玄米茶,冷え性対策、香ばしい風味（アジアンティー）,☆☆☆☆,
リトルフォレスト,レモングラスとリンデンの爽やかブレンド（ハーブティー）,☆☆☆☆,
フルムーン望（ボウ）,満月モチーフ、ラベンダーなどのブレンド（ハーブティー）,癒し系ドリンク　ホッとしたひと時を,
ニュームーン朔（サク）,新月モチーフ、ハニーブッシュなどのブレンド（ハーブティー）,癒し系ドリンク　ホッとしたひと時を,
カモミールジンジャー,リラックス効果と血行促進のブレンド（ハーブティー）,☆☆☆☆,
イエローブルボン（CROWD ROASTER）,芳醇なシトラス香（コーヒー）,☆☆☆☆,
宮田ブレンド,やわらかな甘み、すっきりした後味（コーヒー）,店長宮田さんのお手製ブレンド,
カフェオレ,ミルク泡たっぷり（コーヒー）,ミルク・豆乳はお好みで,
アイスカフェオレ,ミルクたっぷりの冷たいカフェオレ（コーヒー）,ミルク・豆乳はお好みで,
アイスコーヒー,急冷ハンドドリップ、まろやかな甘み（コーヒー）,暑い日や、すっきりしたいときに,
チコリー・オレ,ノンカフェイン、デトックス効果も（コーヒー）,ミルクも豆乳や低脂肪などお選びいただけます,
マラウィミスクチプヤAA,華やか香りと酸味のバランス、ブラック推奨（コーヒー）,☆☆☆☆,
オーガニックブレンド珈琲,コクと甘み、まろやかで飲みやすい（コーヒー）,☆☆☆☆,
オーガニックアールグレイ,優しい柑橘の香り（紅茶）,☆☆☆☆,
オーガニックダージリン,芳醇な香り、ストレートでおすすめ（紅茶）,☆☆☆☆,
オーガニックアッサム,コクとまろやかさ、ミルクティーに◎（紅茶）,☆☆☆☆,
オーガニックウバ,渋みと優しい香り、ミルクティー向き（紅茶）,☆☆☆☆,
イベリコ豚のローストポークサラダと玄米ごはん,イベリコ豚ロース、サラダ、トマト・アボカド・ポテトなど（ごはんもの）,☆☆☆☆,
トマト煮の野菜丼,ラタトュイユ、グリーンサラダ、焼きチーズ入り丼（ごはんもの）,☆☆☆☆,
自家製マヨネーズの玄米タコライス,スパイシー豚ひき肉、サルサソース、マヨ、焼きチーズ（ごはんもの）,☆☆☆☆,
豆乳スープ,玉ねぎブイヨンと豆乳のやさしい味（スープ）,☆☆☆☆,
